Name,Description,Material
The Short Sleeve Jack in Indigo Seersucker,"True to its name, our signature shirt has proven to be a true Jack of all trades; taking on a wide variety of materials and colorways in style. This Short Sleeve Indigo Seersucker version is no exception. While it’s designed with warm weather in mind, we’ve preserved all of the hard wearing features that have kept The Jack at the center of our shirting roster for well over a decade. We’ve shortened the hem to be worn untucked for that billowy beach vibe, but the signature button down collar, immaculately tailored fit and clean, pleatless design mean it can clean up nicely when it's time to shake the sand out of your hair and head to dinner. ","Seersucker has been trusted for generations as a first line of defense against the sweltering sun. It’s distinctive texture helps it hang away from the skin, allowing for better airflow and quick sweat dispersion while adding some eye catching dimension to your most casual summer outfit. We’ve taken it a step further and used 100% organic cotton: It’s just as soft and durable as the conventional stuff without the hefty toll on the environment. Torrid temperatures be damned, when there’s work to be done, reach for The Jack."
The Rib Beanie in Washed Indigo,"Our Rib Beanie is the perfect companion for a midday coffee run or a mountainside hike. Light enough to complete your outfit in the warmer months and substantial enough to keep you warm when winter rolls in, this 100% organic cotton beanie is an easy go-to for every occasion. And hey, it’s a pretty great solution for a bad hair day, to boot. This Washed Indigo iteration goes with everything (think of how versatile those indigo jeans are) and sports some handsome 2x2 ribbing along the bottom for added stretch. ","Our 100% organic cotton is a more Responsible alternative to the conventional stuff, retaining all of the moisture-wicking, temperature regulating benefits without the harsh environmental impact. This burly rib knit construction is extremely durable yet supple to the touch and the 2x2 ribbing along the bottom provides ample stretch for heads of all sizes.  "
The Atelier and Repairs Chino in Navy,"Sometimes, all it takes is a fresh perspective to transform the familiar into the fantastic. That’s exactly why we tapped the talents of our buddies at Atelier & Repairs to breathe some fresh life into our signature Chino. We wanted to reimagine this foundational pant as not just a staple but a look-defining centerpiece, so we handed some overstock units over to A&R founder Maurizio Donadi and let him work his magic. In keeping with our shared commitment to Responsibility, no new materials were produced for this piece; instead, archival fabrics (which, under different circumstances, might have ended up in a landfill) were employed to refresh a timeless silhouette. A pop of color here, some subtle texture there—it all adds up to a one-of-a-kind piece that’s easy on the environment and impossible to ignore. ","Like most essentials, The Chino doesn’t have a lot of bells and whistles to fall back on—instead, it relies on exceptional build quality, expert tailoring, and best-in-class components to earn its place in our wardrobes. We build our Chino with 9-oz. organic cotton (plus a touch of stretch for easy mobility), so they’re gentle on the planet and extraordinarily comfortable right out of the box. This very limited edition of The Chino was reimagined in collaboration with Atelier & Repairs using archival fabrics, and has undergone a softening wash to achieve a lived-in look and feel reminiscent of your most treasured vintage finds. "
The Atelier and Repairs Jack in Washed Blue Oxford,"Sometimes, all it takes is a fresh perspective to transform the familiar into the fantastic. That’s exactly why we tapped the talents of our buddies at Atelier & Repairs to breathe some fresh life into The Jack in Oxford. This stalwart has been a cornerstone of our roster (and our personal wardrobes) for years, and we were thrilled to put it in the very capable hands of A&R founder Maurizio Donadi for this collaboration. In keeping with our shared commitment to Responsibility, no new materials were produced for this piece; instead, archival fabrics (which, under different circumstances, might have ended up in a landfill) were employed to refresh a timeless silhouette. A pop of color here, some subtle texture there—it all adds up to a one-of-a-kind piece that’s easy on the environment and impossible to ignore.","Soft to the touch, but sturdy enough for regular, year-round wear, our burly oxford is a perfectly versatile fabric that looks just as good pressed as it does after pulling an all-nighter out on the town. While conventionally grown cotton uses 25% of the world’s pesticides, our organic cotton doesn’t use a drop. A better shirt, Responsibly Built for the Long Haul. This very limited edition of The Jack was reimagined in collaboration with Atelier & Repairs using archival fabrics, and has undergone a softening wash to achieve a lived-in look and feel reminiscent of your most treasured vintage finds. "
The Ryder Jacket in Yoshiwa Mills Olive,"Trucker jackets are an American tradition, so it seemed fitting to build our latest take on the silhouette—The Ryder Jacket—right here in the USA. At a glance, The Ryder is as familiar as an old friend, but thanks to some unique details (including its pleated front and distinctive patch pockets) and a richly textured finish, it’ll never get lost in a crowd. This one’s going to look absolutely incredible after it’s spent some time on the road, so grab yours early and get a head start. ","Yoshiwa is one of the most celebrated textile mills in all of Japan, and this 11.5-oz. cotton showcases the incredible quality upon which they’ve built their reputation. It’s got a soft, substantial hand feel and some absolutely stellar texture that’ll break in beautifully with wear. We built The Ryder Jacket with rugged double-needle felled construction and opted for old-school copper tack buttons to really emphasize its rich Olive coloring. "
The Apres Pant in Charcoal Double Cloth ('21),"We lounge almost as hard as we work—and that's saying something—so developing relaxation gear that ticks all of the comfort boxes without sacrificing durability has always been a labor of love for us. The latest iteration of The Après Pant offers all of the classic coziness of your favorite pair of sweats, but kicks things up a notch with some dashing good looks and the same meticulous construction you've come to expect from our products. As far as we're concerned, loungewear shouldn't be lazy.","Double Cloth is precisely what it sounds like: two textiles woven together to increase durability. In the case of our latest Après Pant, the result is a rugged and texturally rich pair of casual pants that are equal parts cozy and sharp. We’ve given them a wash for some luxurious softness right out of the box, and even added a touch of stretch to the organic cotton to enhance mobility."
The Jack in Coal Jaspe Check,"Over a decade ago we set out to design the perfect shirt. Something versatile, timeless and dependable. Although we’ve made some minor changes since then (like moving to a more responsible 100% organic cotton) the core design elements have remained the same. Like a tailored fit with high armholes to prevent bunching around the chest, a measured tail that looks great tucked or untucked and a pleatless design for clean lines and easy ironing. This new Coal Jaspe Check colorway has a subtle, mottled look that adds texture to any outfit. ","Our responsibly sourced 100% Organic Cotton retains all of the benefits of regular cotton (moisture wicking, temperature regulation and durability) without the hefty environmental impact. The Herringbone stitch pattern gives The Jack some great texture as well as some extra visual impact and the double needle felled construction means it stays in your wardrobe and out of a landfill, year after year. "
The Jack in Ash Jaspe,"There’s a good reason we call The Jack our signature shirt. It’s an endlessly versatile foundation piece with a classic, tailored fit and serious durability. Tuck it in under a blazer or roll up the sleeves and get your hands dirty, the Jack can stand up to it all. The 100% Responsible Organic cotton will only look better with each wash and wear, and the double needle felled construction means it will be gaining character for years to come. Our new Ash Jaspe colorway brings a nuanced texture to this classic cut. ","Our responsibly sourced 100% Organic Cotton retains all of the benefits of regular cotton (moisture wicking, temperature regulation and durability) without the hefty environmental impact. We take that responsibility one step further by building The Jack with double needle felled construction so it stays in your wardrobe and out of a landfill, year after year. "
The Crater Shirt in Engine Plaid,"You can’t argue with The Crater Shirt’s timeless good looks (especially in this fresh Engine Plaid finish), but its soft, cozy hand feel is the real star of the show. This time around, we built it with a one-of-a-kind organic cotton twill flannel, and we gave it a heavy skin-side brushing to enhance its texture. The result is a Responsibly Built—and exceptionally comfortable—piece that you’ll want to wear all day, every day for years to come. ","This 9-oz. organic cotton flannel was custom developed for Taylor Stitch, and because it’s been heavily brushed, it feels absolutely incredible right out of the box. Like past iterations of The Crater, this handsome fresh edition features two chest pockets (one of which includes a flap closure), snazzy cat’s eye buttons, and our signature California collar. This handsome plaid colorway is both eye-catching and versatile—the perfect combination for a daily driver."
The Explorer Shirt in Burgundy Herringbone Wool,"If you’ve been looking for a reliable shirt with some meat on its bones, don’t sleep on The Explorer. This TS staple has been winning fans and turning heads for years, all thanks to its heavy-duty construction and sharp, straightforward design. This new edition is built with a cozy woolen blend and features some absolutely incredible herringbone texture for extra visual impact. There’s plenty out there worth exploring—this is the piece you reach for when you’ve got no clear destination in mind. ","This handsome 13-oz woolen blend is hefty and exceptionally soft. Because The Explorer easily retains its shape and resists wrinkles, it'll look good as new even if it's spent the bulk of the day at the bottom of a bag. We opted for a Herringbone finish—accented by some awesome YKK donut buttons—this time around, which takes this classic silhouette to new textural heights. "
The Explorer Shirt in Coal Herringbone Wool,"If you’ve been looking for a reliable shirt with some meat on its bones, don’t sleep on The Explorer. This TS staple has been winning fans and turning heads for years, all thanks to its heavy-duty construction and sharp, straightforward design. This new edition is built with a cozy woolen blend and features some absolutely incredible herringbone texture for extra visual impact. There’s plenty out there worth exploring—this is the piece you reach for when you’ve got no clear destination in mind. ","This handsome 13-oz woolen blend is hefty and exceptionally soft. Because The Explorer easily retains its shape and resists wrinkles, it'll look good as new even if it's spent the bulk of the day at the bottom of a bag. We opted for a Herringbone finish—accented by some awesome YKK donut buttons—this time around, which takes this classic silhouette to new textural heights. "
The Sheffield Trouser in Coal Cord,"Need a pair of sharp, all-purpose trousers to carry you through all of the holiday season’s big events? Look no further than The Sheffield Trouser, which is finally back on deck in a sophisticated new Coal Cord finish. Featuring a tailored, slim/straight fit, The Sheffield is as comfy and classic as ever, but this organic cotton corduroy colorway adds some subtle texture to the silhouette for extra impact. Rock ‘em on their own, or—when you’re dressing for a special occasion—paired with their companion piece: The Sheffield Sportcoat in Coal Slub Check. ","This 8-oz. organic cotton corduroy is sturdy and breathable, and we’ve added the slightest touch of stretch for more comfortable mobility. We’ve equipped this edition of The Sheffield Trouser with herringbone-textured poly/cotton lining in the pockets, as well as Bemberg piping at the waistband. A slew of handy pockets (including a welted coin pocket at the waistband) and a zipper fly complete the package. "
The Flatiron Jacket,"Founded in the 1940s in Boulder, CO, Holubar is an absolute giant in the world of outdoor and mountaineering gear, leading the industry with innovative pieces that have shown up on the sporting circuit and the silver screen (De Niro’s iconic orange parka in The Deer Hunter? That’s Holubar). We’ve teamed up with this pioneering brand to bring you The Flatiron Jacket, a brand new silhouette showcasing their technical prowess and our commitment to Responsibility. From the materials (dry wax organic cotton shell, lamb’s wool lining) to the many utility-focused features (removable alpaca hood, down fill, storm flap along the zippered front enclosure), The Flatiron is unlike anything we’ve built before. Our guess: it’s unlike anything you’ve ever owned before, too. ","We worked with two legendary UK-based collaborators to bring The Flatiron Jacket to life: Scotland’s Halley Stevensons provided the organic cotton dry waxed shell, while the lamb’s wool lining that adorns the lower half of the jacket’s torso was sourced from the Abraham Moon mill in England. In keeping with Holubar’s history of innovative performance gear, The Flatiron features cozy down insulation, a removable hood (complete with alpaca lining), a storm flap for protection from the elements, and a ton of pockets for storage and hand warming. If you’re the type of person who gets a kick out of confronting mother nature head on, this is not one to miss. "
The Cotton Hemp Tee in Saffron,"If you've tried out our basics before, you'll know that the word ""basic"" is a bit of a misnomer; like everything we make, these are rugged, purpose-built pieces that outperform and outlast even the toughest competition. The Cotton Hemp Tee is our answer to the disposable, run-of-the-mill t-shirts that plague even the most meticulously curated wardrobes. Thanks to its blend of organic cotton and hemp, it's sturdy, incredibly soft, and light enough to layer when it gets chilly. If your tee selection is lacking, don't worry: there's a new standard-bearer in town.","The Cotton Hemp Tee is our answer to the disposable, run-of-the-mill t-shirts that plague even the most meticulously curated wardrobes. Thanks to its carefully balanced blend of organic cotton and hemp, it's sturdy, incredibly soft, and light enough to layer when it gets chilly. If your tee selection is lacking, don't worry: there's a new standard-bearer in town. "
The Cotton Hemp Tee in Steel Blue,"If you've tried our basics before, you know that the word ""basic"" is a bit of a misnomer; like everything we make, these are rugged, purpose-built pieces that outperform and outlast even the toughest competition. The Cotton Hemp Tee is our answer to the disposable, run-of-the-mill pieces that plague even the most meticulously curated wardrobes. Thanks to its blend of organic cotton and hemp, it's sturdy, incredibly soft, and light enough to layer when it gets chilly. If your tee selection is lacking, don't worry: there's a new standard-bearer in town.","We love organic cotton because it offers all of the benefits of the conventional stuff without relying on wasteful cultivation practices or harmful chemicals. The other half of this blend, hemp, is also easy on the environment—it promotes healthy soil and doesn't require a ton of water or land to flourish—while packing impressive durability (it's the strongest natural fiber around), UV protection, and antimicrobial properties. These fibers are at their best when combined—give The Cotton Hemp Tee a try and we think you'll agree."
The Cotton Hemp Tee in Forest,"If you've tried our basics before, you know that the word ""basic"" is a bit of a misnomer; like everything we make, these are rugged, purpose-built pieces that outperform and outlast even the toughest competition. The Cotton Hemp Tee is our answer to the disposable, run-of-the-mill pieces that plague even the most meticulously curated wardrobes. Thanks to its blend of organic cotton and hemp, it's sturdy, incredibly soft, and light enough to layer when it gets chilly. If your tee selection is lacking, don't worry: there's a new standard-bearer in town.","We love organic cotton because it offers all of the benefits of the conventional stuff without relying on wasteful cultivation practices or harmful chemicals. The other half of this blend, hemp, is also easy on the environment—it promotes healthy soil and doesn't require a ton of water or land to flourish—while packing impressive durability (it's the strongest natural fiber around), UV protection, and antimicrobial properties. These fibers are at their best when combined—give The Cotton Hemp Tee a try and we think you'll agree."
The Seawall Hand-knit Sweater in Coal,"Wouldn’t it be great if—social conventions aside—you could just wrap yourself up in a big, fluffy blanket all day, every day to block out the cold? That’s the question that prompted us to team up with the world-famous purveyors of all things cozy at Kanata Hand Knits Inc. to create The Seawall Hand-knit Sweater. Because each of the forty one-of-a-kind pieces was built by hand by an individual knitter using traditional Cowichan techniques used by the Coast Salish people of Vancouver Island, it has the inimitable feel of a carefully crafted family heirloom—that is to say, it’s really, really warm. ","Simply put, there’s no replacement for wool. It’s cozy, it’s breathable, and because it’s highly durable and breaks down when discarded, it’s easy on the environment. The Seawall was built by hand in Canada using a custom-developed yarn pattern, resulting in a uniquely homespun look and feel—like a precious hand-me-down without the stains and snags. Because each of these cottage industry garments is knit by hand, expect variations from our typical sizing and fit. "
The Robe in Indigo Slub,"Even the most dedicated early birds among us wake up on the wrong side of the bed from time to time. Luckily, having a comfy robe on hand makes the transition from sleeping to day-seizing a heck of a lot easier. Our take on this age-old essential is built with 100% organic cotton and features some extraordinarily rich texture that’ll pick up a ton of nuance with wear—whether you’re lounging on the couch, cooking up some breakfast, or cracking into the daily crossword.","This 9-oz. organic cotton is cozy and substantial, offering the perfect balance between structured and soft. We’ve given The Robe a wash to soften up this rich Indigo Slub texture, and equipped it with two comfy hand-warming pockets and a removable belt for a snug fit."
The Weekend Crewneck in Navy Boiled Wool,"A hefty, hard-wearing crewneck sweater, built with 100% wool and equipped with a slew of no-nonsense details: ribbing at the collar, vents on the lower side seams, and a tidy, tailored fit that’s easy to dress up when the occasion calls for it. Despite its name, The Weekend Crewneck is built to serve seven days a week, sun-up to sun-down, no matter what’s on the docket. ","Boiled wool is precisely what it sounds like: a woolen fabric that’s been treated with hot water to increase its density, durability, and resistance to shrinkage. The process gives The Weekend Crewneck a substantial, structured hand feel, but it still offers all of the benefits of untreated wool, so it’s warm, breathable, and easy to care for. We’ve added some vents on the lower side seams to improve airflow, so don’t be afraid to layer. "
The Weekend Cardigan in Charcoal Herringbone Wool,"A classic, cozy shawl collar cardigan that—despite its name—is built to serve with distinction all seven days of the week. Cut from a luxurious woolen blend, The Weekend Cardigan is a versatile, handsome piece that’s at home on the couch, at the office, or out in the field. Rich herringbone texture lends The Weekend Cardigan some amazing visual nuance that’ll become more pronounced with wear, so be sure to keep this one in heavy rotation. ","We’ve enhanced this 12-oz. woolen blend up with some polyester and nylon to improve its durability and give it a luxurious, itch-free hand feel. Ribbing on the cuffs and hem keep the silhouette trim and tidy, while two lower welt pockets are great for hand-warming or storage. We’ve rounded The Weekend Cardigan out with some subtle dark horn buttons. "
The Weekend Pant in Charcoal Herringbone Wool,"Despite their name, these classic, cozy casual pants can hold their own seven days a week. Simple sophistication is the name of the game here, so The Weekend Pant features a tidy, tailored fit, a richly textured woolen finish, and a slew of handy, comfort-focused features—including organic cotton pocketing and a handy drawcord at the waist—to keep the daily grind from getting you down. ","We’ve enhanced this 12-oz. woolen blend up with some polyester and nylon to improve its durability and give it a luxurious, itch-free hand feel. The Weekend Pant features two front slash pockets and two welt rear pockets for storing your essentials, while a ribbed waistband and drawcord ensure a snug, comfy fit—even if you pack on some pounds over the holidays. "
The Jack in Gravel Check,"Our signature button down returns in a brushed plaid finish that’s soft to the touch and easy on the eyes. The Jack’s design is straightforward, but we’ve put a ton of care into each and every detail, from the expertly tailored fit (including high armholes to prevent bunching across the chest) to the balanced tail length that looks great tucked or untucked. You shouldn’t have to obsess about the clothes you wear—that’s our job.","Because it’s been brushed inside and out, this 5-oz. organic cotton has an exceptionally soft and cozy texture—perfect for layering under heavier gear when staying warm is your top priority. Organic cotton offers all of the benefits of its conventional counterpart, but because it doesn’t rely on harsh chemicals or sketchy cultivation practices, it’s significantly easier on the environment. "
The Western Shirt in Natural Pincord,"Our signature Western Shirt hits the trail once again—this time in a handsome, vintage-inspired Pincord finish to help you add some eye-catching texture to your shirting selection. Rugged construction (including bar-tack reinforcements at stress points), authentic details like slanted chest pockets and western-style front and back yokes, and a modern, tailored fit combine to create a shirt that feels old school without living in the past. Responsibly Built—and ready to ride—For the Long Haul.","At 4.5-oz., this organic cotton Pincord (also known as “pinwale”—essentially a very, very fine corduroy) is lightweight, breathable and boasts a ton of rich texture. Corduroy can occasionally have a rough, rigid texture, but we’ve given this batch a wash to soften it up and enhance its vintage vibe. Per tradition, this run of The Western Shirt features genuine YKK western snaps (including snazzy antique brass settings) and an awesome concho at the top of the front placket for a little extra visual impact."
The Maritime Shirt in Navy Wool,"Not sure what the day holds in store? The Maritime Shirt is the perfect piece to reach for when you’re leaving the house with no clear goals or destinations in mind. Whether you end up hiking a new trail, hitting the beach, or heading into town, this sharp, sturdy woolen overshirt will make the journey all the more cozy. All of the classic details remain (including those distinctive oversized chest pockets), but this time around we opted for some dark horn buttons for a little extra sophistication. ","This 11-oz. woolen blend has a substantial feel and an unbelievably soft texture inside and out, making it an excellent layering piece to block out the cold. Wool is a great natural option for outerwear—it’s warm even when wet, it’s breathable, and it’s easy to care for. We’ve blended this batch with some nylon to improve its durability and enhance its texture, so don’t worry about getting itchy. "
The Maritime Shirt in Espresso Plaid Wool,"Not sure what the day holds in store? The Maritime Shirt is the perfect piece to reach for when you’re leaving the house with no clear goals or destinations in mind. Whether you end up hiking a new trail, hitting the beach, or heading into town, this sharp, sturdy woolen overshirt will make the journey all the more cozy. All of the classic details remain (including those distinctive oversized chest pockets), but this time around we opted for some dark horn buttons for a little extra sophistication. ","This 11-oz. woolen blend has a substantial feel and an unbelievably soft texture inside and out, making it an excellent layering piece to block out the cold. Wool is a great natural option for outerwear—it’s warm even when wet, it’s breathable, and it’s easy to care for. We’ve blended this batch with some nylon to improve its durability and enhance its texture, so don’t worry about getting itchy. "
The Ojai Jacket in Garnet Plaid Wool,"Originally inspired by iconic French workwear from the 19th century, The Ojai Jacket has taken all sorts of different materials in stride, seamlessly shifting from lightweight to burly—or from laid-back to buttoned up—depending on the demands of the day. This time around, we’ve reimagined this TS classic as a woolen overshirt/jacket hybrid, but rest assured, all of the features fans know and love (including those awesome ring-back buttons) return. This Garnet Plaid finish looks especially striking when worn with a well-loved pair of blue jeans. ","This 14-oz. woolen blend offers some serious warmth and adds some extra structure to The Ojai’s easygoing silhouette. All of the style’s signature details—including dual-entry patch pockets, ring-back buttons, and a handy pen slot—return alongside some phenomenal texture that’ll keep getting better with wear. This time around, we’ve equipped the sleeves with smooth acetate for quick and easy wardrobe changes and more comfort throughout the arms. "
The Whitney Parka in Navy,"You can’t fight the forecast, but you can dress accordingly. With its water-repellant shell and ultra cozy down insulation, The Whitney Parka is the closest we’ve ever come to beating the elements at their own game. Despite its impressive suite of performance features, The Whitney is surprisingly lightweight, so it’ll keep you warm without slowing you down. The only question is—do you opt for understated Navy or eye-catching Dusty Orange? ","The Whitney Parka’s water-repellant shell is made from a blend of soft organic cotton and rugged nylon, so it’ll provide comfort and durability in equal measure. The 3-oz. nylon lining adds a little extra heft, while classic quilt construction and 650 fill power down insulation provide some serious warmth. Elastic cuffs and an internal drawcord at the waist ensure a snug fit to keep cold air out. This is all-conditions comfort at its finest. "
The Whitney Parka in Dusty Orange,"You can’t fight the forecast, but you can dress accordingly. With its water-repellant shell and ultra cozy down insulation, The Whitney Parka is the closest we’ve ever come to beating the elements at their own game. Despite its impressive suite of performance features, The Whitney is surprisingly lightweight, so it’ll keep you warm without slowing you down. The only question is—do you opt for understated Navy or eye-catching Dusty Orange? ","The Whitney Parka’s water-repellant shell is made from a blend of soft organic cotton and rugged nylon, so it’ll provide comfort and durability in equal measure. The 3-oz. nylon lining adds a little extra heft, while classic quilt construction and 650 fill power down insulation provide some serious warmth. Elastic cuffs and an internal drawcord at the waist ensure a snug fit to keep cold air out. This is all-conditions comfort at its finest. "
The Camp Pant in Navy Nep Wool,"Our beloved Camp Pant returns in a burly Navy Nep Wool finish to keep you covered and cozy all season long. Ever since its inception, The Camp has been one of our most versatile silhouettes, adapting effortlessly to all sorts of materials, from lightweight linens to rugged canvases, and this richly textured woolen blend is no exception. Whether you’re taking it easy or tackling any remaining end-of-year projects, you’ll be glad to be doing it in The Camp. ","This 9-oz. woolen blend boasts some nice heft, but it won’t slow you down or leave you feeling stifled. Because this blend contains durable nylon, comfy cotton, and luxurious silk, this iteration of The Camp boasts an ultra soft hand feel and some incredible texture. We’ve equipped it with no-nonsense pocketing (two slash pockets at the waist, two patch pockets at the back), bar-tacked reinforcements at stress points, and rugged YKK hardware. "
